"id","이름_한글","이름_영문","도수구간","최소도수","최대도수","스타일","베이스","맛단계","잔","계절","재료_원문","재료_목록","맛","분위기","제조단계수","제조순서","제조단계_출처","추천수","어려워요수","북마크수","유래","이미지_URL","잔이미지_URL","등록일","수정일","v2_bases","v2_abv","v2_abvBand","taste_sweet","taste_sour","taste_bitter","taste_boozy","taste_body","taste_fizz","flavor_citrus","flavor_tropical","flavor_berry_red","flavor_stone_orchard","flavor_herbal","flavor_mint","flavor_floral","flavor_spice","flavor_coffee_choco","flavor_creamy_nutty","flavor_oak_caramel","flavor_smoky","flavor_anise","flavor_savory","occasion_aperitif","occasion_with_meal","occasion_dessert","occasion_party","occasion_refresh","occasion_slow_sip","occasion_brunch","approachability","familiarity","complexity","polarizing","serve","allergens","recipeStatus","source","유래_출처","recipeSourceUrl","diffords_대조"
"66","라스트 워드","The Last Word","강함","28","30","스트롱","진","","쿠페","사계절","진 22.5ml (¾ oz), 그린 샤르트뢰즈 22.5ml (¾ oz), 마라스키노 리큐르 22.5ml (¾ oz), 라임 주스 22.5ml (¾ oz)","","허브, 새콤달콤, 복합적인, 라임","독특한, 개성있는, 깊은 대화","4","1. 셰이커에 얼음을 가득 채운다. / 2. 진 22.5ml (¾ oz), 그린 샤르트뢰즈 22.5ml (¾ oz), 마라스키노 리큐르 22.5ml (¾ oz), 라임 주스 22.5ml (¾ oz)를 넣는다. / 3. 15초간 강하게 흔든다. / 4. 미리 차갑게 식힌 쿠페 잔에 걸러 따른다.","AUTO","0","0","0","1915년경 디트로이트 애슬레틱 클럽에서 처음 만들어졌으며, 금주법 시대에 잠시 인기를 끌었음. 오랫동안 잊혔다가 2004년 시애틀의 바텐더 머레이 스텐슨(Murray Stenson)에 의해 재발견되어 세계적으로 부활. 네 가지 재료가 동일한 비율로 들어가 만들어내는 완벽한 균형감과 복합적인 맛이 특징.","https://raw.githubusercontent.com/rlaaudgjs2/onz-cocktail-images/main/cocktail_image_file/old/onz_cocktail_The_Last_Word.webp","http://onz-cocktail.kr/uploads/glasses/onz_glasstype_coupe.webp","2026-01-12 17:55:00.54984","2026-01-12 17:55:00.54984","gin|liqueur","29","3","2","4","0","4","3","0","3","0","0","0","5","0","0","0","0","0","0","0","0","0","2","0","0","0","0","2","0","2","3","5","0","up","","verified","existing","","","기존 105 (원본 유지)"
"67","맨해튼","Manhattan","강함","29","32","클래식","위스키","","마티니","가을","라이 또는 캐나디안 위스키 50ml (1⅔ oz), 스위트 베르무트 20ml (⅔ oz), 앙고스투라 비터스 1 dash","","스위트, 쌉쌀한, 스파이시, 체리","클래식, 도시적인, 중후한, 식후","3","1. 믹싱 글라스에 얼음을 채우고 라이 또는 캐나디안 위스키 50ml (1⅔ oz), 스위트 베르무트 20ml (⅔ oz), 앙고스투라 비터스 1 dash를 넣는다. / 2. 20~30초간 충분히 젓는다. / 3. 미리 차갑게 식힌 마티니 잔에 걸러 따른다.","AUTO","0","0","1","1870년대 뉴욕의 맨해튼 클럽에서 윈스턴 처칠의 어머니를 위한 파티에서 탄생했다는 유명한 일화가 있음. 하지만 이 일화는 시기적으로 맞지 않아, 실제로는 1860년대 뉴욕의 한 바에서 만들어졌다는 설이 더 신빙성 있음. '칵테일의 여왕'이라 불리며, 마티니, 올드 패션드와 함께 칵테일의 역사를 상징하는 클래식.","https://raw.githubusercontent.com/rlaaudgjs2/onz-cocktail-images/main/cocktail_image_file/old/onz_cocktail_Manhattan.webp","http://onz-cocktail.kr/uploads/glasses/onz_glasstype_martini.webp","2026-01-12 17:55:00.551101","2026-01-12 17:55:00.551101","whiskey|fortified","30","3","2","0","2","5","4","0","0","0","0","0","2","0","0","1","0","0","5","0","0","0","2","0","0","0","0","3","0","2","5","4","0","up","","verified","existing","","","기존 105 (원본 유지)"
"68","마르티네스","Martinez","강함","28","30","스트롱","진","","쿠페","사계절","런던 드라이 진 45ml (1½ oz), 스위트 베르무트 45ml (1½ oz), 마라스키노 리큐르 1 tsp, 앙고스투라 비터스 2 dashes","","스위트, 복합적인, 허브, 체리","클래식, 깊은 맛, 전환기","3","1. 믹싱 글라스에 얼음을 채우고 런던 드라이 진 45ml (1½ oz), 스위트 베르무트 45ml (1½ oz), 마라스키노 리큐르 1 tsp, 앙고스투라 비터스 2 dashes를 넣는다. / 2. 20~30초간 충분히 젓는다. / 3. 미리 차갑게 식힌 쿠페 잔에 걸러 따른다.","AUTO","0","0","0","마티니의 직접적인 조상으로 여겨지는 칵테일로, 1880년대에 처음 문헌에 등장함. 캘리포니아의 도시 마르티네즈에서 한 여행객이 마티니를 주문하며 탄생했다는 설이 있음. 초기 진 칵테일의 특징인 올드 톰 진과 스위트 베르무트를 사용하여 마티니보다 더 달콤하고 풍부한 맛을 냄.","https://raw.githubusercontent.com/rlaaudgjs2/onz-cocktail-images/main/cocktail_image_file/old/onz_cocktail_Martinez.webp","http://onz-cocktail.kr/uploads/glasses/onz_glasstype_coupe.webp","2026-01-12 17:55:00.552419","2026-01-12 17:55:00.552419","gin|fortified|liqueur","29","3","3","0","2","4","3","0","0","0","1","0","3","0","0","0","0","0","2","0","0","0","2","0","0","0","0","2","0","2","2","4","0","up","","verified","existing","","","기존 105 (원본 유지)"
"69","몽키 글랜드","Monkey Gland","강함","26","28","스트롱","진","","쿠페","사계절","진 45ml (1½ oz), 오렌지 주스 45ml (1½ oz), 압생트 1 tbsp, 그레나딘 시럽 1 tbsp","","오렌지, 아니스, 새콤, 독특한","개성있는, 독특한, 모험적인","4","1. 셰이커에 얼음을 가득 채운다. / 2. 진 45ml (1½ oz), 오렌지 주스 45ml (1½ oz), 압생트 1 tbsp, 그레나딘 시럽 1 tbsp를 넣는다. / 3. 15초간 강하게 흔든다. / 4. 미리 차갑게 식힌 쿠페 잔에 걸러 따른다.","AUTO","0","0","0","1920년대 파리 해리스 뉴욕 바의 해리 맥켈혼이 창작한 칵테일. 이름은 당시 유행했던 '원숭이 고환 이식 수술'이라는 기상천외한 회춘 시술에서 유래. 압생트가 소량 들어가 아니스의 독특한 향을 더하며, 이름만큼이나 독특하고 강렬한 인상을 줌.","https://raw.githubusercontent.com/rlaaudgjs2/onz-cocktail-images/main/cocktail_image_file/old/onz_cocktail_Monkey_Gland.webp","http://onz-cocktail.kr/uploads/glasses/onz_glasstype_coupe.webp","2026-01-12 17:55:00.553694","2026-01-12 17:55:00.553694","gin|liqueur","27","3","3","2","0","3","3","0","4","0","1","0","0","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0","3","1","3","1","up","","verified","existing","","","기존 105 (원본 유지)"
"70","네그로니","Negroni","강함","24","26","클래식","진","","록스","사계절","진 22.5ml (¾ oz), 캄파리 22.5ml (¾ oz), 스위트 베르무트 22.5ml (¾ oz)","","쌉쌀달콤, 오렌지, 허브, 강한","식전, 클래식, 깊은 맛, 세련된","3","1. 믹싱 글라스에 얼음을 채우고 진 22.5ml (¾ oz), 캄파리 22.5ml (¾ oz), 스위트 베르무트 22.5ml (¾ oz)를 넣는다. / 2. 20~30초간 충분히 젓는다. / 3. 록스 잔에 크고 단단한 얼음 한 덩이를 넣는다. 그 위에 걸러 따른다.","AUTO","0","0","0","1919년 이탈리아 피렌체의 한 카페에서 카밀로 네그로니 백작이 주문하며 탄생함. 평소 마시던 아메리카노에 탄산수 대신 진을 넣어달라고 요청한 것이 시초. 진, 캄파리, 스위트 베르무트가 1:1:1 비율로 들어가는 단순하면서도 완벽한 조화로 전 세계적인 사랑을 받음.","https://raw.githubusercontent.com/rlaaudgjs2/onz-cocktail-images/main/cocktail_image_file/old/onz_cocktail_Negroni.webp","http://onz-cocktail.kr/uploads/glasses/onz_glasstype_rocks.webp","2026-01-12 17:55:00.554949","2026-01-12 17:55:00.554949","gin|fortified|liqueur","25","3","2","0","5","4","3","0","2","0","0","0","4","0","0","0","0","0","0","0","0","0","3","0","0","0","0","2","0","1","4","4","1","rocks","","verified","existing","","","기존 105 (원본 유지)"
"71","올드 패션드","Old Fashioned","강함","30","33","클래식","위스키","","록스","가을","버번 또는 라이 위스키 45ml (1½ oz), 앙고스투라 비터스 2 dashes, 각설탕 1개, 물 약간","","스파이시, 오렌지, 달콤쌉쌀, 클래식","중후한, 깊은 대화, 혼술","3","1. 록스 잔에 각설탕 1개를 넣고 가볍게 으깬다. / 2. 버번 또는 라이 위스키 45ml (1½ oz), 앙고스투라 비터스 2 dashes, 물 약간을 넣는다. / 3. 록스 잔에 크고 단단한 얼음 한 덩이를 넣는다.","AUTO","0","0","0","19세기 초반 '위스키 칵테일'이라는 이름으로 존재하던 가장 원초적인 형태의 칵테일. 1880년대 켄터키의 한 신사 클럽에서 옛 방식(Old-Fashioned)을 그리워하며 재탄생했다는 설이 있음. 설탕, 비터스, 스피릿, 물이라는 칵테일의 기본 정의에 가장 충실한 '칵테일의 시조'.","https://raw.githubusercontent.com/rlaaudgjs2/onz-cocktail-images/main/cocktail_image_file/old/onz_cocktail_Old_Fashioned.webp","http://onz-cocktail.kr/uploads/glasses/onz_glasstype_rocks.webp","2026-01-12 17:55:00.556342","2026-01-12 17:55:00.556342","whiskey","31","3","2","0","2","5","4","0","1","0","0","0","0","0","0","2","0","0","5","0","0","0","0","0","0","0","0","3","0","2","5","3","0","rocks","","verified","existing","","","기존 105 (원본 유지)"
"72","포르토 플립","Porto Flip","보통","18","20","스탠다드","브랜디","","쿠페","겨울","브랜디 15ml (½ oz), 포트 와인 45ml (1½ oz), 계란 노른자 10ml (⅓ oz)","","크리미, 달콤, 부드러운, 너티","식후, 디저트, 부드러운, 추운 날","4","1. 셰이커에 브랜디 15ml (½ oz), 포트 와인 45ml (1½ oz), 계란 노른자 10ml (⅓ oz)를 넣는다. / 2. 얼음 없이 먼저 15초간 흔든다. / 3. 얼음을 채우고 15초간 강하게 흔든다. / 4. 미리 차갑게 식힌 쿠페 잔에 걸러 따른다.","AUTO","0","0","0","17세기부터 존재했던 '플립(Flip)' 스타일 칵테일의 일종으로, 계란이 통째로 들어가는 것이 특징. 현재의 레시피는 19세기 후반에 정립되었으며, 포트 와인을 사용하여 깊고 달콤한 맛을 냄. 계란 노른자가 들어가 매우 부드럽고 크리미한 질감을 가지며, 디저트 칵테일로 인기가 높음.","https://raw.githubusercontent.com/rlaaudgjs2/onz-cocktail-images/main/cocktail_image_file/old/onz_cocktail_Porto_Flip.webp","http://onz-cocktail.kr/uploads/glasses/onz_glasstype_coupe.webp","2026-01-12 17:55:00.557569","2026-01-12 17:55:00.557569","fortified|brandy","19","2","4","0","0","2","4","0","0","0","2","0","0","0","0","0","0","3","3","0","0","0","0","0","3","0","0","2","0","3","1","4","0","up","egg","verified","existing","","","기존 105 (원본 유지)"
"73","라모스 피즈","Ramos Fizz","보통","10","12","스탠다드","진","","하이볼","봄","진 45ml (1½ oz), 라임 주스 15ml (½ oz), 레몬 주스 15ml (½ oz), 설탕 시럽 30ml (1 oz), 생크림 60ml (2 oz), 계란 흰자 30ml (1 oz), 오렌지 플라워 워터 3 dashes, 바닐라 엑기스 2 drops, 탄산수","","크리미, 시트러스, 바닐라, 부드러운","특별한 날, 정성, 부드러운, 브런치","4","1. 셰이커에 진 45ml (1½ oz), 라임 주스 15ml (½ oz), 레몬 주스 15ml (½ oz), 설탕 시럽 30ml (1 oz), 생크림 60ml (2 oz), 계란 흰자 30ml (1 oz), 오렌지 플라워 워터 3 dashes, 바닐라 엑기스 2 drops를 넣는다. / 2. 얼음 없이 먼저 15초간 흔든다. / 3. 얼음을 채우고 15초간 강하게 흔든다. / 4. 하이볼 잔에 얼음을 잔 끝까지 넣는다. 그 위에 걸러 따른다.","AUTO","0","0","0","1888년 뉴올리언스의 바텐더 헨리 라모스(Henry C. Ramos)가 창작한 전설적인 칵테일. 부드러운 거품을 만들기 위해 10분 이상 격렬하게 쉐이킹해야 하는 것으로 악명 높음. 독특한 재료와 극도의 정성으로 만들어내는 구름 같은 질감과 복합적인 풍미는 타의 추종을 불허함.","https://raw.githubusercontent.com/rlaaudgjs2/onz-cocktail-images/main/cocktail_image_file/old/onz_cocktail_Ramos_Fizz.webp","http://onz-cocktail.kr/uploads/glasses/onz_glasstype_highball.webp","2026-01-12 17:55:00.558874","2026-01-12 17:55:00.558874","gin","11","1","4","3","0","2","5","4","3","0","0","0","0","0","3","0","0","4","0","0","0","0","0","0","1","0","0","0","3","4","3","3","0","long","dairy|egg","verified","existing","","","기존 105 (원본 유지)"
"74","러스티 네일","Rusty Nail","강함","32","35","스트롱","위스키","","록스","겨울","스카치 위스키 45ml (1½ oz), 드람뷔 25ml (⅘ oz)","","꿀, 허브, 스모키, 달콤한","깊은 밤, 중후한, 클래식, 남성적인","3","1. 믹싱 글라스에 얼음을 채우고 스카치 위스키 45ml (1½ oz), 드람뷔 25ml (⅘ oz)를 넣는다. / 2. 20~30초간 충분히 젓는다. / 3. 록스 잔에 크고 단단한 얼음 한 덩이를 넣는다. 그 위에 걸러 따른다.","AUTO","0","0","0","1937년 영국 산업 박람회에서 처음 선보였다는 설이 있으며, 1950년대 뉴욕에서 현재의 이름으로 정착. '녹슨 못'이라는 이름은 칵테일의 색깔이나, 초기에 녹슨 못으로 저었다는 괴담에서 유래했다는 설이 있음. 스카치 위스키와 꿀 기반의 리큐르 드람buie만으로 만드는 단순하지만 깊고 남성적인 칵테일.","https://raw.githubusercontent.com/rlaaudgjs2/onz-cocktail-images/main/cocktail_image_file/old/onz_cocktail_Rusty_Nail.webp","http://onz-cocktail.kr/uploads/glasses/onz_glasstype_rocks.webp","2026-01-12 17:55:00.560226","2026-01-12 17:55:00.560226","whiskey|liqueur","33","3","3","0","2","5","4","0","0","0","0","0","3","0","0","0","0","0","4","1","0","0","0","0","1","0","0","3","0","1","3","4","0","rocks","","verified","existing","","","기존 105 (원본 유지)"
"75","사제락","Sazerac","강함","35","38","클래식","위스키","","록스","가을","코냑 또는 라이 위스키 50ml (1⅔ oz), 압생트 10ml (⅓ oz), 페이쇼드 비터스 2 dashes, 각설탕 1개","","아니스, 스파이시, 허브, 강한","클래식, 독특한, 깊은 맛, 진중한","3","1. 록스 잔에 각설탕 1개를 넣고 가볍게 으깬다. / 2. 코냑 또는 라이 위스키 50ml (1⅔ oz), 압생트 10ml (⅓ oz), 페이쇼드 비터스 2 dashes를 넣는다. / 3. 록스 잔에 크고 단단한 얼음 한 덩이를 넣는다.","AUTO","0","0","0","1838년 뉴올리언스의 약사 앙투안 페이쇼(Antoine Peychaud)가 자신의 비터스를 이용해 만든 것이 시초. 원래는 코냑 베이스였으나, 필록세라 때문에 라이 위스키로 대체되면서 현재의 형태가 됨. 압생트로 잔을 헹궈 향을 입히는 독특한 제조 방식과 강렬한 허브 풍미가 특징인 뉴올리언스의 상징.","https://raw.githubusercontent.com/rlaaudgjs2/onz-cocktail-images/main/cocktail_image_file/old/onz_cocktail_Sazerac.webp","http://onz-cocktail.kr/uploads/glasses/onz_glasstype_rocks.webp","2026-01-12 17:55:00.561454","2026-01-12 17:55:00.561454","whiskey|brandy","36","3","2","0","3","5","5","0","0","0","0","0","0","0","0","2","0","0","4","0","3","0","0","0","0","0","0","3","0","1","3","5","0","rocks","","verified","existing","","","기존 105 (원본 유지)"
"76","턱시도","Tuxedo","강함","30","32","스트롱","진","","마티니","사계절","진 30ml (1 oz), 드라이 베르무트 30ml (1 oz), 마라스키노 리큐르 ½ tsp, 압생트 ¼ tsp, 레몬 제스트, 체리","","드라이, 아니스, 셰리, 복합적인","클래식, 세련된, 특별한 날, 격식있는","5","1. 셰이커에 얼음을 가득 채운다. / 2. 진 30ml (1 oz), 드라이 베르무트 30ml (1 oz), 마라스키노 리큐르 ½ tsp, 압생트 ¼ tsp를 넣는다. / 3. 15초간 강하게 흔든다. / 4. 미리 차갑게 식힌 마티니 잔에 걸러 따른다. / 5. 레몬 제스트, 체리로 장식한다.","AUTO","0","0","0","1886년 뉴욕 외곽에 문을 연 '턱시도 클럽'에서 처음 만들어진 칵테일. 마티니의 변형 중 하나로, 마라스키노 리큐르와 압생트, 오렌지 비터스가 더해져 훨씬 복합적인 맛을 냄. 이름처럼 격식 있고 우아한 분위기를 자아내는 클래식 칵테일.","https://raw.githubusercontent.com/rlaaudgjs2/onz-cocktail-images/main/cocktail_image_file/old/onz_cocktail_Tuxedo.webp","http://onz-cocktail.kr/uploads/glasses/onz_glasstype_martini.webp","2026-01-12 17:55:00.562693","2026-01-12 17:55:00.562693","gin|fortified|liqueur","31","3","1","0","3","4","2","0","2","0","0","0","4","0","0","0","0","0","0","0","2","0","3","0","0","0","0","0","0","1","1","5","0","up","","verified","existing","","","기존 105 (원본 유지)"
"77","롱 아일랜드 아이스티","Long Island Iced Tea","강함","20","22","스트롱","보드카, 진, 럼, 테킬라","","하이볼","여름","보드카 15ml (½ oz), 화이트 럼 15ml (½ oz), 진 15ml (½ oz), 테킬라 15ml (½ oz), 쿠앵트로 15ml (½ oz), 레몬 주스 30ml (1 oz), 설탕 시럽 20ml (⅔ oz), 콜라","","콜라, 레몬, 달콤, 매우 강함","파티, 강렬한, 위험한, 여름","3","1. 하이볼 잔에 얼음을 잔 끝까지 넣는다. / 2. 보드카 15ml (½ oz), 화이트 럼 15ml (½ oz), 진 15ml (½ oz), 테킬라 15ml (½ oz), 쿠앵트로 15ml (½ oz), 레몬 주스 30ml (1 oz), 설탕 시럽 20ml (⅔ oz)를 붓는다. / 3. 콜라를 잔 벽을 따라 천천히 채운다.","AUTO","0","1","0","1970년대 미국 뉴욕 롱아일랜드의 바텐더 로버트 버트(Robert Butt)가 칵테일 대회에서 처음 선보였다는 설이 유력함. 이름과 달리 홍차는 전혀 들어가지 않지만, 콜라 때문에 색깔이 아이스티와 비슷해 붙여진 이름. 다양한 종류의 술이 들어가 도수가 매우 높지만 달콤한 맛에 가려져 있어 '앉은뱅이 술'로도 불림.","https://raw.githubusercontent.com/rlaaudgjs2/onz-cocktail-images/main/cocktail_image_file/old/onz_cocktail_Long_Island_Iced_Tea.webp","http://onz-cocktail.kr/uploads/glasses/onz_glasstype_highball.webp","2026-01-12 17:55:00.563966","2026-01-12 17:55:00.563966","vodka|rum|gin|tequila|liqueur","21","2","3","2","0","3","2","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","4","5","2","0","long","caffeine","verified","existing","","","기존 105 (원본 유지)"
"78","마이타이","Mai Tai","강함","24","27","스트롱","럼","","록스","여름","자메이카 럼 30ml (1 oz), 마르티니크 럼 30ml (1 oz), 오렌지 큐라소 15ml (½ oz), 오르쟈 시럽 15ml (½ oz), 라임 주스 30ml (1 oz), 심플 시럽 7.5ml (¼ oz), 파인애플, 민트 잎, 라임 필","","아몬드, 오렌지, 라임, 열대과일","휴양지, 열대, 복합적인, 여름","5","1. 셰이커에 얼음을 가득 채운다. / 2. 자메이카 럼 30ml (1 oz), 마르티니크 럼 30ml (1 oz), 오렌지 큐라소 15ml (½ oz), 오르쟈 시럽 15ml (½ oz), 라임 주스 30ml (1 oz), 심플 시럽 7.5ml (¼ oz), 파인애플을 넣는다. / 3. 15초간 강하게 흔든다. / 4. 록스 잔에 크고 단단한 얼음 한 덩이를 넣는다. 그 위에 걸러 따른다. / 5. 민트 잎, 라임 필로 장식한다.","AUTO","1","0","0","1944년 미국 오클랜드의 티키 바 '트레이더 빅스'의 빅터 버거론(Victor Bergeron)이 창시. 타히티에서 온 친구에게 처음 선보였을 때 ""세상 최고야!(Mai Tai-Roa Aé!)""라고 외친 것에서 이름이 유래. 오리지널 레시피는 복잡하고 구하기 힘든 재료를 사용하여, 티키 칵테일의 정수로 평가받음.","https://raw.githubusercontent.com/rlaaudgjs2/onz-cocktail-images/main/cocktail_image_file/old/onz_cocktail_Mai_Tai.webp","http://onz-cocktail.kr/uploads/glasses/onz_glasstype_rocks.webp","2026-01-12 17:55:00.565306","2026-01-12 17:55:00.565306","rum|liqueur","25","3","4","4","0","3","3","0","4","1","0","0","0","0","0","0","0","2","3","0","0","0","0","0","0","3","2","0","0","4","5","4","0","rocks","nut","verified","existing","","","기존 105 (원본 유지)"
"79","민트 줄렙","Mint Julep","강함","28","32","스트롱","위스키","","줄렙 컵","여름","버번 위스키 60ml (2 oz), 민트 잎 4-5개, 설탕 1 tsp, 물 2 tsp","","민트, 달콤한, 스파이시, 시원한","여름, 클래식, 경마, 상쾌한","3","1. 줄렙 컵에 민트 잎 4-5개를 넣고 가볍게 으깬다. / 2. 버번 위스키 60ml (2 oz), 설탕 1 tsp, 물 2 tsp를 넣는다. / 3. 줄렙 컵에 크러시드 아이스를 가득 넣는다.","AUTO","0","0","0","18세기 미국 남부에서 탄생한 매우 유서 깊은 칵테일. 원래는 약용으로 마시던 음료였으나, 점차 위스키를 기반으로 한 사교용 음료로 발전. 미국 최대의 경마 대회 '켄터키 더비'의 공식 음료로 지정되어 매년 엄청난 양이 소비됨.","https://raw.githubusercontent.com/rlaaudgjs2/onz-cocktail-images/main/cocktail_image_file/old/onz_cocktail_Dons_Mint_Julep.webp","http://onz-cocktail.kr/uploads/glasses/onz_glasstype_julep_cup.webp","2026-01-12 17:55:00.566776","2026-01-12 17:55:00.566776","whiskey","30","3","3","0","1","5","3","0","0","0","0","0","0","5","0","0","0","0","4","0","0","0","0","0","0","0","1","2","0","2","4","4","0","rocks","","verified","existing","","","기존 105 (원본 유지)"
"80","피스코 사워","Pisco Sour","보통","18","20","스탠다드","피스코","","록스","사계절","피스코 60ml (2 oz), 레몬즙 30ml (1 oz), 설탕 시럽 20ml (⅔ oz), 계란 흰자 1개, 아마르고 비터 몇 방울","","새콤달콤, 포도향, 부드러운, 시트러스","독특한, 남미, 부드러운, 식전","4","1. 셰이커에 피스코 60ml (2 oz), 레몬즙 30ml (1 oz), 설탕 시럽 20ml (⅔ oz), 계란 흰자 1개, 아마르고 비터 몇 방울을 넣는다. / 2. 얼음 없이 먼저 15초간 흔든다. / 3. 얼음을 채우고 15초간 강하게 흔든다. / 4. 록스 잔에 크고 단단한 얼음 한 덩이를 넣는다. 그 위에 걸러 따른다.","AUTO","0","1","0","1920년대 페루 리마의 '모리스 바'에서 미국인 바텐더 빅터 모리스가 창작. 페루와 칠레의 국민 증류주 '피스코'를 베이스로 하며, 양국 간의 원조 논쟁이 치열함. 계란 흰자를 넣어 만드는 부드러운 거품 위에 앙고스투라 비터스를 떨어뜨려 장식하는 것이 특징.","https://raw.githubusercontent.com/rlaaudgjs2/onz-cocktail-images/main/cocktail_image_file/old/onz_cocktail_Pisco_Sour.webp","http://onz-cocktail.kr/uploads/glasses/onz_glasstype_rocks.webp","2026-01-12 17:55:00.56824","2026-01-12 17:55:00.56824","pisco","19","2","3","4","0","2","3","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","2","0","0","0","4","4","3","0","up","egg","verified","existing","","","기존 105 (원본 유지)"
"81","하부 지 갈루","Rabo de Galo","강함","28","30","스트롱","카샤사","","록스","사계절","카샤사 60ml (2 oz), 스위트 베르무트 친자노 로소 20ml (⅔ oz), 시나르 15ml (½ oz), 오렌지 필 트위스트","","허브, 쌉쌀달콤, 강한, 브라질","현지, 독특한, 식전","5","1. 셰이커에 얼음을 가득 채운다. / 2. 카샤사 60ml (2 oz), 스위트 베르무트 친자노 로소 20ml (⅔ oz), 시나르 15ml (½ oz)를 넣는다. / 3. 15초간 강하게 흔든다. / 4. 록스 잔에 크고 단단한 얼음 한 덩이를 넣는다. 그 위에 걸러 따른다. / 5. 오렌지 필 트위스트로 장식한다.","AUTO","0","0","0","수탉의 꼬리'라는 뜻의 브라질 칵테일로, 영어 단어 'Cocktail'을 그대로 번역한 이름. 20세기 중반 이탈리아 이민자들이 들여온 베르무트와 브라질의 카샤사가 결합하여 탄생. 브라질 현지인들이 즐겨 마시는 대표적인 식전주로, 쌉쌀하면서도 달콤한 맛이 매력적.","https://raw.githubusercontent.com/rlaaudgjs2/onz-cocktail-images/main/cocktail_image_file/old/onz_cocktail_Rabo_de_Galo.webp","http://onz-cocktail.kr/uploads/glasses/onz_glasstype_rocks.webp","2026-01-12 17:55:00.569528","2026-01-12 17:55:00.569528","cachaca|fortified|liqueur","29","3","2","1","4","4","4","0","0","0","0","0","3","0","0","0","0","0","2","0","0","0","2","0","0","0","0","2","0","2","1","4","0","rocks","","verified","existing","","","기존 105 (원본 유지)"
"82","싱가폴 슬링","Singapore Sling","보통","16","18","스페셜","진","","허리케인","여름","진 30ml (1 oz), 체리 리큐르 15ml (½ oz), 돔 베네딕틴 7.5ml (¼ oz), 코앵트로 7.5ml (¼ oz), 파인애플 주스 120ml (4 oz), 라임 주스 15ml (½ oz), 그레나딘 시럽 10ml (⅓ oz), 앙고스투라 비터스 1 dash, 마라스키노 체리","","체리, 파인애플, 허브, 복합적인","열대, 클래식, 이국적인, 여름","5","1. 셰이커에 얼음을 가득 채운다. / 2. 진 30ml (1 oz), 체리 리큐르 15ml (½ oz), 돔 베네딕틴 7.5ml (¼ oz), 코앵트로 7.5ml (¼ oz), 파인애플 주스 120ml (4 oz), 라임 주스 15ml (½ oz), 그레나딘 시럽 10ml (⅓ oz), 앙고스투라 비터스 1 dash를 넣는다. / 3. 15초간 강하게 흔든다. / 4. 허리케인 잔에 크러시드 아이스를 가득 넣는다. 그 위에 걸러 따른다. / 5. 마라스키노 체리로 장식한다.","AUTO","0","0","0","1915년 싱가포르 래플스 호텔의 롱 바에서 바텐더 니암 통 분(Ngiam Tong Boon)이 창작. 당시 여성들이 공공장소에서 술 마시는 것을 꺼리는 분위기 속에서, 주스처럼 보이도록 분홍색으로 만듦. 많은 재료가 들어가는 복합적인 맛의 칵테일로, 싱가포르를 대표하는 상징적인 음료.","https://raw.githubusercontent.com/rlaaudgjs2/onz-cocktail-images/main/cocktail_image_file/old/onz_cocktail_Singapore_Sling.webp","http://onz-cocktail.kr/uploads/glasses/onz_glasstype_hurricane.webp","2026-01-12 17:55:00.57085","2026-01-12 17:55:00.57085","gin|liqueur","17","2","4","3","1","1","3","0","2","3","3","0","2","0","0","0","0","0","0","0","0","0","0","0","0","3","2","0","0","4","4","3","0","long","","verified","existing","","","기존 105 (원본 유지)"
"83","뷰 카레","Vieux Carré","강함","33","36","스트롱","위스키, 브랜디","","록스","가을","라이 위스키 30ml (1 oz), 코냑 30ml (1 oz), 스위트 베르무트 30ml (1 oz), 돔 베네딕틴 5ml (⅙ oz), 페이쇼 비터스 2 dashes, 오렌지 필, 체리","","스파이시, 허브, 쌉쌀달콤, 복합적인","깊은 맛, 클래식, 뉴올리언스, 중후한","5","1. 셰이커에 얼음을 가득 채운다. / 2. 라이 위스키 30ml (1 oz), 코냑 30ml (1 oz), 스위트 베르무트 30ml (1 oz), 돔 베네딕틴 5ml (⅙ oz), 페이쇼 비터스 2 dashes를 넣는다. / 3. 15초간 강하게 흔든다. / 4. 록스 잔에 크고 단단한 얼음 한 덩이를 넣는다. 그 위에 걸러 따른다. / 5. 오렌지 필, 체리로 장식한다.","AUTO","0","0","0","1937년 뉴올리언스 몬텔레오네 호텔의 캐러셀 바에서 월터 버거론(Walter Bergeron)이 창작. '오래된 광장'이라는 뜻의 이름은 뉴올리언스의 프랑스 지구(French Quarter)를 의미. 라이 위스키, 코냑, 베네딕틴 등 다양한 재료가 어우러져 매우 복합적이고 깊은 풍미를 내는 칵테일.","https://raw.githubusercontent.com/rlaaudgjs2/onz-cocktail-images/main/cocktail_image_file/old/onz_cocktail_Vieux_Carre.webp","http://onz-cocktail.kr/uploads/glasses/onz_glasstype_rocks.webp","2026-01-12 17:55:00.572267","2026-01-12 17:55:00.572267","whiskey|brandy|fortified|liqueur","35","3","3","1","3","5","5","0","0","0","0","0","3","0","0","1","0","0","5","0","0","0","0","0","0","0","0","3","0","1","3","5","0","rocks","","verified","existing","","","기존 105 (원본 유지)"
